"repeatmasker_name" "repeatmasker_subtype" "colors" "fam_gen_perc_RM"
"289" "Low.complexity120" "LC_DNA" "not_kmer" 0.00657539068167165
"290" "Low.complexity121" "LC_DNA" "not_kmer" 0.0993698491640347
"291" "Low.complexity122" "LC_DNA" "not_kmer" 0.189772493764487
"292" "Low.complexity123" "LC_DNA" "not_kmer" 0.00967062001138419
"293" "Low.complexity124" "LC_DNA" "not_kmer" 0.0306294470849185
"294" "Low.complexity125" "LC_DNA" "not_kmer" 0.0421394850683459
"295" "Low.complexity126" "LC_DNA" "not_kmer" 0.0153513038305367
"296" "Low.complexity127" "LC_DNA" "not_kmer" 0.0262716944180729
"297" "Low.complexity128" "LC_DNA" "not_kmer" 0.019740602800862
"298" "Low.complexity129" "LC_DNA" "not_kmer" 0.0765048199227928
"299" "Low.complexity13" "LC_DNA" "not_kmer" 0.0320114436565065
"300" "Low.complexity130" "LC_DNA" "not_kmer" 0.0255484786308528
"301" "Low.complexity131" "LC_DNA" "not_kmer" 0.0215998211123233
"302" "Low.complexity132" "LC_DNA" "not_kmer" 0.0777190170077868
"303" "Low.complexity133" "LC_DNA" "not_kmer" 0.0343203645920397
"304" "Low.complexity134" "LC_DNA" "not_kmer" 0.0448336736250988
"305" "Low.complexity135" "LC_DNA" "not_kmer" 0.0432422632942415
"306" "Low.complexity136" "LC_DNA" "not_kmer" 0.0270603520050646
"307" "Low.complexity137" "LC_DNA" "not_kmer" 0.0104401484569042
"308" "Low.complexity138" "LC_DNA" "not_kmer" 0.0226183639959488
"309" "Low.complexity139" "LC_DNA" "not_kmer" 0.010232748291474
"310" "Low.complexity14" "LC_DNA" "not_kmer" 0.00405940517968154
"311" "Low.complexity140" "LC_DNA" "kmer_2" 0.0912681543523042
"312" "Low.complexity141" "LC_DNA" "not_kmer" 0.0120604202994556
"313" "Low.complexity142" "LC_DNA" "not_kmer" 0.0237912824072407
"314" "Low.complexity143" "LC_DNA" "not_kmer" 0.0123617881773784
"315" "Low.complexity144" "LC_DNA" "not_kmer" 0.0126010702452614
"316" "Low.complexity145" "LC_DNA" "not_kmer" 0.00334659296063031
"317" "Low.complexity146" "LC_DNA" "not_kmer" 0.0164164949714353
"318" "Low.complexity147" "LC_DNA" "not_kmer" 0.0143263845664207
