kmer_id	Contig
kmer_88829147.0	Contig_9
kmer_296776267.0	Contig_9
kmer_427059706.0	Contig_9
kmer_36822852.0	Contig_9
kmer_84332433.0	Contig_9
kmer_199287895.0	Contig_9
kmer_453815035.0	Contig_9
kmer_239610878.0	Contig_9
kmer_321519606.0	Contig_9
kmer_335378385.0	Contig_9
kmer_143296602.0	Contig_9
kmer_71686044.0	Contig_9
kmer_167414918.0	Contig_9
kmer_394144461.0	Contig_9
kmer_251844882.0	Contig_9
kmer_107469332.0	Contig_9
kmer_435966737.0	Contig_10
kmer_350321715.0	Contig_10
kmer_342407472.0	Contig_10
kmer_9358276.0	Contig_10
kmer_18350672.0	Contig_10
kmer_39580658.0	Contig_10
kmer_90763458.0	Contig_10
kmer_214039877.0	Contig_10
kmer_147957325.0	Contig_10
kmer_6878635.0	Contig_10
kmer_12404709.0	Contig_10
kmer_25258087.0	Contig_10
kmer_55133910.0	Contig_10
kmer_122518049.0	Contig_10
kmer_284961196.0	Contig_10
kmer_452348190.0	Contig_10
kmer_198427383.0	Contig_10
kmer_314668963.0	Contig_10
kmer_334278564.0	Contig_10
kmer_142860155.0	Contig_10
kmer_411669900.0	Contig_10
kmer_446647298.0	Contig_10
kmer_360210776.0	Contig_10
kmer_438144274.0	Contig_10
kmer_208237359.0	Contig_10
kmer_88234303.0	Contig_10
kmer_407341948.0	Contig_10
kmer_179417918.0	Contig_10
kmer_417867792.0	Contig_10
kmer_198335716.0	Contig_10
kmer_314651385.0	Contig_10
kmer_467051046.0	Contig_10
kmer_378893121.0	Contig_10
kmer_418444489.0	Contig_10
kmer_205668959.0	Contig_10
kmer_270013030.0	Contig_10
kmer_499296998.0	Contig_10
kmer_235437189.0	Contig_10
kmer_348044322.0	Contig_10
kmer_388016541.0	Contig_10
kmer_265709797.0	Contig_10
kmer_455291058.0	Contig_10
kmer_377162156.0	Contig_10
kmer_505459619.0	Contig_10
kmer_333072280.0	Contig_10
kmer_308461417.0	Contig_10
kmer_166960416.0	Contig_10
kmer_393024211.0	Contig_10
kmer_525750170.0	Contig_10
kmer_399324250.0	Contig_10
kmer_339887501.0	Contig_10
kmer_347348225.0	Contig_10
kmer_384486654.0	Contig_10
kmer_513841031.0	Contig_10
kmer_414818133.0	Contig_10
kmer_174390066.0	Contig_10
kmer_408061811.0	Contig_10
kmer_98074508.0	Contig_10
kmer_229361777.0	Contig_10
kmer_444853328.0	Contig_10
kmer_220294700.0	Contig_10
kmer_484121772.0	Contig_10
kmer_96553904.0	Contig_10
kmer_164481350.0	Contig_11
kmer_387747457.0	Contig_11
kmer_269505659.0	Contig_11
kmer_115455446.0	Contig_11
kmer_447890235.0	Contig_11
kmer_419901982.0	Contig_11
